Município;04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE;06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1;08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA;10 EACSSB_M1 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MI;22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I;23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO;45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3;46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II;70 ESF - EQUIPE DE SAUDE DA FAMILIA;71 ESB - EQUIPE DE SAUDE BUCAL;72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA;73 ECR - EQUIPE DOS CONSULTORIOS NA RUA;74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL;75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL;76 EAP - EQUIPE DE ATENCAO PRIMARIA;Total
260990 Ouricuri;0;0;0;0;0;0;0;0;28;16;3;0;0;0;0;47
261000 Palmares;0;0;0;0;0;0;0;0;19;18;0;0;1;0;0;38
261010 Palmeirina;0;0;0;0;0;0;0;0;4;4;1;0;0;0;0;9
261020 Panelas;0;0;0;0;0;0;0;0;8;8;1;0;0;0;1;18
261030 Paranatama;0;0;0;0;0;0;0;0;6;6;1;0;0;0;0;13
261040 Parnamirim;1;0;0;0;0;0;0;0;8;8;1;0;0;0;0;18
261050 Passira;0;0;0;0;0;0;0;0;14;8;2;0;0;0;0;24
261060 Paudalho;0;0;0;0;0;0;0;0;21;21;3;0;0;0;0;45
261070 Paulista;0;0;0;0;0;0;0;0;52;28;3;0;0;0;3;86
261080 Pedra;0;0;0;0;0;0;0;0;10;10;1;0;0;0;0;21
261090 Pesqueira;0;0;4;0;1;1;0;0;19;18;2;0;1;0;0;46
261100 Petrolândia;0;0;1;0;0;0;0;0;10;9;1;0;0;0;0;21
261110 Petrolina;0;0;0;0;3;1;0;0;90;50;9;1;1;0;0;155
261120 Poção;0;0;0;0;0;0;0;0;5;5;1;0;0;0;0;11
261130 Pombos;0;0;0;0;0;0;0;0;11;9;1;0;0;0;0;21
261140 Primavera;0;0;0;0;0;0;0;0;4;4;1;0;0;0;0;9
261150 Quipapá;0;0;0;0;0;0;0;0;9;9;1;0;0;0;0;19
261153 Quixaba;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;7
261160 Recife;7;0;0;1;9;3;0;0;333;171;20;2;8;0;0;554
261170 Riacho das Almas;0;0;0;0;0;0;0;0;6;5;1;0;0;0;0;12
261180 Ribeirão;0;0;0;0;0;0;0;0;12;12;1;0;0;0;0;25
261190 Rio Formoso;0;0;0;0;0;0;0;0;9;7;0;0;0;0;0;16
261200 Sairé;0;0;0;0;0;0;0;0;6;4;1;0;0;0;0;11
261210 Salgadinho;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;7
261220 Salgueiro;0;0;1;0;0;0;0;0;19;19;1;0;1;0;0;41
261230 Saloá;0;0;0;0;0;0;0;0;8;8;1;0;1;0;0;18
261240 Sanharó;0;0;0;0;0;0;0;0;9;9;1;0;0;0;0;19
261245 Santa Cruz;0;0;0;0;0;0;0;0;6;6;1;0;0;0;0;13
261247 Santa Cruz da Baixa Verde;0;0;0;0;0;0;0;0;6;6;1;0;0;0;0;13
261250 Santa Cruz do Capibaribe;0;0;0;0;1;1;0;0;21;14;2;0;1;0;0;40
261255 Santa Filomena;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;8
261260 Santa Maria da Boa Vista;0;0;0;0;0;0;0;0;12;5;1;0;0;0;0;18
261270 Santa Maria do Cambucá;0;0;0;0;0;0;0;0;7;5;1;0;0;0;0;13
261280 Santa Terezinha;0;0;0;0;0;0;0;0;6;6;1;0;0;0;0;13
261290 São Benedito do Sul;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;8
261300 São Bento do Una;0;0;0;0;1;0;0;0;13;9;1;0;0;0;0;24
261310 São Caitano;0;0;0;0;0;1;0;1;11;8;1;0;0;0;0;22
261320 São João;0;0;0;0;0;0;0;0;11;11;1;0;0;0;0;23
261330 São Joaquim do Monte;0;0;0;0;0;1;0;1;10;10;2;0;0;0;0;24
261340 São José da Coroa Grande;0;0;0;0;0;0;0;0;7;7;1;0;0;0;0;15
261350 São José do Belmonte;1;0;0;0;0;0;0;0;13;10;1;0;0;0;0;25
261360 São José do Egito;0;0;0;0;0;0;0;0;13;13;1;0;1;0;0;28
261370 São Lourenço da Mata;0;0;0;0;0;0;0;0;27;13;1;0;0;0;0;41
261380 São Vicente Ferrer;0;0;0;0;0;0;0;0;6;6;1;0;0;0;0;13
261390 Serra Talhada;0;0;0;0;0;0;0;0;23;23;2;0;0;0;2;50
261400 Serrita;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;18
261410 Sertânia;0;0;0;0;0;0;0;0;10;10;1;0;0;0;0;21
261420 Sirinhaém;0;0;0;0;0;0;0;0;11;7;1;0;0;0;0;19
261440 Solidão;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;7
261450 Surubim;0;0;0;0;0;0;0;0;20;20;0;0;0;0;0;40
261460 Tabira;0;0;0;0;0;0;0;0;13;14;1;0;0;0;0;28
261470 Tacaimbó;0;0;0;0;0;0;0;0;6;5;1;0;1;0;0;13
261480 Tacaratu;0;0;2;0;0;0;0;0;9;6;1;0;0;0;0;18
261485 Tamandaré;0;0;0;0;0;0;0;0;8;7;1;0;0;0;0;16
261500 Taquaritinga do Norte;0;0;0;0;0;0;0;0;8;7;1;0;0;0;0;16
261510 Terezinha;0;0;0;0;0;0;0;0;4;4;1;0;0;0;0;9
261520 Terra Nova;0;0;0;0;0;0;0;0;4;3;1;0;0;0;0;8
261530 Timbaúba;0;0;0;0;0;0;0;0;20;20;3;0;0;0;0;43
261540 Toritama;0;0;0;0;0;0;0;0;9;7;1;0;0;0;0;17
261550 Tracunhaém;0;0;0;0;0;0;0;0;5;5;1;0;0;0;0;11
261560 Trindade;0;0;0;0;0;0;0;0;10;7;1;0;0;0;0;18
261570 Triunfo;0;0;0;0;0;0;0;0;6;6;1;0;0;0;0;13
261580 Tupanatinga;0;0;0;0;0;0;0;0;7;6;1;0;0;0;0;14
261590 Tuparetama;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;7
261600 Venturosa;0;0;0;0;0;0;0;0;8;8;1;0;0;0;0;17
261610 Verdejante;0;0;0;0;0;0;0;0;4;4;0;0;1;0;0;9
261618 Vertente do Lério;0;0;0;0;0;0;0;0;4;4;1;0;0;0;0;9
261620 Vertentes;0;0;0;0;0;0;0;0;6;6;1;0;0;0;0;13
261630 Vicência;0;0;0;0;0;0;0;0;12;11;1;0;0;0;0;24
261640 Vitória de Santo Antão;0;0;0;0;1;1;0;0;36;36;5;0;1;0;0;80
261650 Xexéu;0;0;0;0;0;0;0;0;7;7;1;0;0;0;0;15
