Município;01 ESF - EQUIPE DE SAUDE DA FAMILIA;02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I;03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II;04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE;06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1;07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2;08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA;10 EACSSB_M1 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MI;11 EACSSB_M2 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MII;22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I;23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO;36 ESFTRANS      - ESF TRANSITORIA;40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I;41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II;45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3;46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II;49 EAP;51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL;52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II;54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III;Total
260005 Abreu e Lima;13;14;0;0;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;35
260010 Afogados da Ingazeira;1;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
260020 Afrânio;1;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9
260030 Agrestina;0;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
260040 Água Preta;0;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
260050 Águas Belas;9;4;0;0;2;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;19
260060 Alagoinha;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260070 Aliança;0;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
260080 Altinho;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
260090 Amaraji;2;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260100 Angelim;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260105 Araçoiaba;3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
260110 Araripina;7;13;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
260120 Arcoverde;0;22;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;26
260130 Barra de Guabiraba;1;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260140 Barreiros;2;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
260150 Belém de Maria;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
