"Município";"Nascim_p/resid.mãe"
"260005 Abreu e Lima";1519
"260010 Afogados da Ingazeira";522
"260020 Afrânio";260
"260030 Agrestina";338
"260040 Água Preta";486
"260050 Águas Belas";719
"260060 Alagoinha";185
"260070 Aliança";525
"260080 Altinho";278
"260090 Amaraji";304
"260100 Angelim";129
"260105 Araçoiaba";303
"260110 Araripina";1501
"260120 Arcoverde";1158
"260130 Barra de Guabiraba";174
"260140 Barreiros";702
"260150 Belém de Maria";124
"260160 Belém do São Francisco";310
"260170 Belo Jardim";1158
"260180 Betânia";185
"260190 Bezerros";765
"260200 Bodocó";486
"260210 Bom Conselho";563
"260220 Bom Jardim";482
"260230 Bonito";627
"260240 Brejão";176
"260250 Brejinho";83
"260260 Brejo da Madre de Deus";676
"260270 Buenos Aires";174
"260280 Buíque";858
"260290 Cabo de Santo Agostinho";3091
"260300 Cabrobó";531
"260310 Cachoeirinha";270
"260320 Caetés";446
"260330 Calçado";136
"260340 Calumbi";107
"260345 Camaragibe";2237
"260350 Camocim de São Félix";226
"260360 Camutanga";113
"260370 Canhotinho";360
"260380 Capoeiras";234
"260390 Carnaíba";269
"260392 Carnaubeira da Penha";267
"260400 Carpina";1081
"260410 Caruaru";5678
"260415 Casinhas";167
"260420 Catende";566
"260430 Cedro";141
"260440 Chã de Alegria";225
"260450 Chã Grande";300
"260460 Condado";340
"260470 Correntes";245
"260480 Cortês";193
"260490 Cumaru";153
"260500 Cupira";383
"260510 Custódia";517
"260515 Dormentes";247
"260520 Escada";981
"260530 Exu";467
"260540 Feira Nova";335
"260545 Fernando de Noronha";23
"260550 Ferreiros";147
"260560 Flores";262
"260570 Floresta";456
"260580 Frei Miguelinho";140
"260590 Gameleira";357
"260600 Garanhuns";2248
"260610 Glória do Goitá";444
"260620 Goiana";1183
"260630 Granito";95
"260640 Gravatá";1046
"260650 Iati";278
"260660 Ibimirim";484
"260670 Ibirajuba";96
"260680 Igarassu";1544
"260690 Iguaracy";150
"260760 Ilha de Itamaracá";331
"260700 Inajá";331
"260710 Ingazeira";54
"260720 Ipojuca";1743
"260730 Ipubi";490
"260740 Itacuruba";77
"260750 Itaíba";340
"260765 Itambé";409
"260770 Itapetim";167
"260775 Itapissuma";324
"260780 Itaquitinga";242
"260790 Jaboatão dos Guararapes";9591
"260795 Jaqueira";193
"260800 Jataúba";242
"260805 Jatobá";223
"260810 João Alfredo";353
"260820 Joaquim Nabuco";281
"260825 Jucati";174
"260830 Jupi";279
"260840 Jurema";217
"260850 Lagoa de Itaenga";347
"260845 Lagoa do Carro";233
"260860 Lagoa do Ouro";193
"260870 Lagoa dos Gatos";191
"260875 Lagoa Grande";370
"260880 Lajedo";638
"260890 Limoeiro";781
"260900 Macaparana";382
"260910 Machados";212
"260915 Manari";248
"260920 Maraial";240
"260930 Mirandiba";246
"261430 Moreilândia";147
"260940 Moreno";758
"260950 Nazaré da Mata";434
"260960 Olinda";5671
"260970 Orobó";263
"260980 Orocó";282
"260990 Ouricuri";1086
"261000 Palmares";1130
"261010 Palmeirina";119
"261020 Panelas";360
"261030 Paranatama";215
"261040 Parnamirim";266
"261050 Passira";386
"261060 Paudalho";812
"261070 Paulista";4123
"261080 Pedra";350
"261090 Pesqueira";977
"261100 Petrolândia";642
"261110 Petrolina";6210
"261120 Poção";137
"261130 Pombos";392
"261140 Primavera";147
"261150 Quipapá";284
"261153 Quixaba";87
"261160 Recife";22817
"261170 Riacho das Almas";314
"261180 Ribeirão";443
"261190 Rio Formoso";336
"261200 Sairé";115
"261210 Salgadinho";67
"261220 Salgueiro";987
"261230 Saloá";220
"261240 Sanharó";285
"261245 Santa Cruz";240
"261247 Santa Cruz da Baixa Verde";189
"261250 Santa Cruz do Capibaribe";1364
"261255 Santa Filomena";167
"261260 Santa Maria da Boa Vista";685
"261270 Santa Maria do Cambucá";204
"261280 Santa Terezinha";164
"261290 São Benedito do Sul";174
"261300 São Bento do Una";710
"261310 São Caitano";548
"261320 São João";308
"261330 São Joaquim do Monte";307
"261340 São José da Coroa Grande";336
"261350 São José do Belmonte";443
"261360 São José do Egito";459
"261370 São Lourenço da Mata";1600
"261380 São Vicente Ferrer";266
"261390 Serra Talhada";1415
"261400 Serrita";279
"261410 Sertânia";399
"261420 Sirinhaém";573
"261440 Solidão";88
"261450 Surubim";844
"261460 Tabira";398
"261470 Tacaimbó";149
"261480 Tacaratu";312
"261485 Tamandaré";399
"261500 Taquaritinga do Norte";365
"261510 Terezinha";103
"261520 Terra Nova";109
"261530 Timbaúba";760
"261540 Toritama";606
"261550 Tracunhaém";178
"261560 Trindade";592
"261570 Triunfo";203
"261580 Tupanatinga";330
"261590 Tuparetama";119
"261600 Venturosa";229
"261610 Verdejante";103
"261618 Vertente do Lério";109
"261620 Vertentes";348
"261630 Vicência";383
"261640 Vitória de Santo Antão";2075
"261650 Xexéu";241
