Município;Óbitos_p/Residênc
260005 Abreu e Lima;11
260010 Afogados da Ingazeira;7
260020 Afrânio;6
260030 Agrestina;2
260040 Água Preta;3
260050 Águas Belas;15
260060 Alagoinha;2
260070 Aliança;7
260080 Altinho;6
260090 Amaraji;6
260100 Angelim;3
260105 Araçoiaba;4
260110 Araripina;19
260120 Arcoverde;32
260130 Barra de Guabiraba;1
260140 Barreiros;11
260150 Belém de Maria;1
260160 Belém do São Francisco;5
260170 Belo Jardim;12
260180 Betânia;4
260190 Bezerros;6
260200 Bodocó;9
260210 Bom Conselho;12
260220 Bom Jardim;1
260230 Bonito;4
260240 Brejão;0
260250 Brejinho;1
260260 Brejo da Madre de Deus;11
260270 Buenos Aires;4
260280 Buíque;17
260290 Cabo de Santo Agostinho;26
260300 Cabrobó;11
260310 Cachoeirinha;4
260320 Caetés;6
260330 Calçado;0
260340 Calumbi;2
260345 Camaragibe;33
260350 Camocim de São Félix;4
260360 Camutanga;0
260370 Canhotinho;3
260380 Capoeiras;5
260390 Carnaíba;6
260392 Carnaubeira da Penha;3
260400 Carpina;14
260410 Caruaru;68
260415 Casinhas;2
260420 Catende;7
260430 Cedro;2
260440 Chã de Alegria;3
260450 Chã Grande;3
260460 Condado;0
260470 Correntes;4
260480 Cortês;2
260490 Cumaru;2
260500 Cupira;9
260510 Custódia;5
260515 Dormentes;7
260520 Escada;10
260530 Exu;8
260540 Feira Nova;2
260545 Fernando de Noronha;0
260550 Ferreiros;1
260560 Flores;4
260570 Floresta;10
260580 Frei Miguelinho;2
260590 Gameleira;4
260600 Garanhuns;31
260610 Glória do Goitá;4
260620 Goiana;12
260630 Granito;1
260640 Gravatá;4
260650 Iati;2
260660 Ibimirim;5
260670 Ibirajuba;0
260680 Igarassu;24
260690 Iguaracy;1
260760 Ilha de Itamaracá;3
260700 Inajá;6
260710 Ingazeira;0
260720 Ipojuca;21
260730 Ipubi;9
260740 Itacuruba;1
260750 Itaíba;4
260765 Itambé;2
260770 Itapetim;1
260775 Itapissuma;1
260780 Itaquitinga;2
260790 Jaboatão dos Guararapes;102
260795 Jaqueira;0
260800 Jataúba;4
260805 Jatobá;5
260810 João Alfredo;4
260820 Joaquim Nabuco;1
260825 Jucati;6
260830 Jupi;4
260840 Jurema;5
260850 Lagoa de Itaenga;3
260845 Lagoa do Carro;3
260860 Lagoa do Ouro;5
260870 Lagoa dos Gatos;0
260875 Lagoa Grande;4
260880 Lajedo;11
260890 Limoeiro;6
260900 Macaparana;2
260910 Machados;1
260915 Manari;3
260920 Maraial;1
260930 Mirandiba;3
261430 Moreilândia;0
260940 Moreno;12
260950 Nazaré da Mata;7
260960 Olinda;58
260970 Orobó;1
260980 Orocó;5
260990 Ouricuri;13
261000 Palmares;17
261010 Palmeirina;0
261020 Panelas;5
261030 Paranatama;1
261040 Parnamirim;5
261050 Passira;4
261060 Paudalho;11
261070 Paulista;52
261080 Pedra;5
261090 Pesqueira;8
261100 Petrolândia;5
261110 Petrolina;95
261120 Poção;3
261130 Pombos;7
261140 Primavera;1
261150 Quipapá;3
261153 Quixaba;1
261160 Recife;247
261170 Riacho das Almas;3
261180 Ribeirão;5
261190 Rio Formoso;5
261200 Sairé;1
261210 Salgadinho;0
261220 Salgueiro;15
261230 Saloá;3
261240 Sanharó;5
261245 Santa Cruz;6
261247 Santa Cruz da Baixa Verde;5
261250 Santa Cruz do Capibaribe;23
261255 Santa Filomena;3
261260 Santa Maria da Boa Vista;6
261270 Santa Maria do Cambucá;3
261280 Santa Terezinha;2
261290 São Benedito do Sul;2
261300 São Bento do Una;6
261310 São Caitano;5
261320 São João;4
261330 São Joaquim do Monte;1
261340 São José da Coroa Grande;4
261350 São José do Belmonte;4
261360 São José do Egito;3
261370 São Lourenço da Mata;17
261380 São Vicente Ferrer;2
261390 Serra Talhada;18
261400 Serrita;9
261410 Sertânia;4
261420 Sirinhaém;10
261440 Solidão;1
261450 Surubim;8
261460 Tabira;3
261470 Tacaimbó;3
261480 Tacaratu;6
261485 Tamandaré;9
261500 Taquaritinga do Norte;4
261510 Terezinha;3
261520 Terra Nova;0
261530 Timbaúba;4
261540 Toritama;8
261550 Tracunhaém;2
261560 Trindade;9
261570 Triunfo;2
261580 Tupanatinga;7
261590 Tuparetama;2
261600 Venturosa;4
261610 Verdejante;0
261618 Vertente do Lério;2
261620 Vertentes;6
261630 Vicência;5
261640 Vitória de Santo Antão;18
261650 Xexéu;1
