"Município";"Nascim_p/resid.mãe"
"260005 Abreu e Lima";1490
"260010 Afogados da Ingazeira";623
"260020 Afrânio";268
"260030 Agrestina";351
"260040 Água Preta";451
"260050 Águas Belas";780
"260060 Alagoinha";199
"260070 Aliança";532
"260080 Altinho";245
"260090 Amaraji";294
"260100 Angelim";150
"260105 Araçoiaba";299
"260110 Araripina";1639
"260120 Arcoverde";1161
"260130 Barra de Guabiraba";182
"260140 Barreiros";710
"260150 Belém de Maria";158
"260160 Belém do São Francisco";316
"260170 Belo Jardim";1254
"260180 Betânia";196
"260190 Bezerros";783
"260200 Bodocó";578
"260210 Bom Conselho";505
"260220 Bom Jardim";452
"260230 Bonito";618
"260240 Brejão";160
"260250 Brejinho";112
"260260 Brejo da Madre de Deus";735
"260270 Buenos Aires";198
"260280 Buíque";890
"260290 Cabo de Santo Agostinho";3128
"260300 Cabrobó";546
"260310 Cachoeirinha";294
"260320 Caetés";414
"260330 Calçado";130
"260340 Calumbi";71
"260345 Camaragibe";2191
"260350 Camocim de São Félix";189
"260360 Camutanga";133
"260370 Canhotinho";351
"260380 Capoeiras";244
"260390 Carnaíba";260
"260392 Carnaubeira da Penha";278
"260400 Carpina";1007
"260410 Caruaru";5962
"260415 Casinhas";213
"260420 Catende";526
"260430 Cedro";169
"260440 Chã de Alegria";196
"260450 Chã Grande";341
"260460 Condado";373
"260470 Correntes";240
"260480 Cortês";196
"260490 Cumaru";167
"260500 Cupira";339
"260510 Custódia";529
"260515 Dormentes";252
"260520 Escada";910
"260530 Exu";532
"260540 Feira Nova";319
"260545 Fernando de Noronha";24
"260550 Ferreiros";124
"260560 Flores";234
"260570 Floresta";515
"260580 Frei Miguelinho";166
"260590 Gameleira";312
"260600 Garanhuns";2313
"260610 Glória do Goitá";415
"260620 Goiana";1216
"260630 Granito";126
"260640 Gravatá";1140
"260650 Iati";324
"260660 Ibimirim";456
"260670 Ibirajuba";99
"260680 Igarassu";1631
"260690 Iguaracy";130
"260760 Ilha de Itamaracá";328
"260700 Inajá";380
"260710 Ingazeira";65
"260720 Ipojuca";1800
"260730 Ipubi";503
"260740 Itacuruba";72
"260750 Itaíba";401
"260765 Itambé";437
"260770 Itapetim";202
"260775 Itapissuma";375
"260780 Itaquitinga";242
"260790 Jaboatão dos Guararapes";9688
"260795 Jaqueira";180
"260800 Jataúba";235
"260805 Jatobá";198
"260810 João Alfredo";373
"260820 Joaquim Nabuco";208
"260825 Jucati";175
"260830 Jupi";302
"260840 Jurema";243
"260850 Lagoa de Itaenga";316
"260845 Lagoa do Carro";251
"260860 Lagoa do Ouro";186
"260870 Lagoa dos Gatos";216
"260875 Lagoa Grande";397
"260880 Lajedo";685
"260890 Limoeiro";769
"260900 Macaparana";393
"260910 Machados";196
"260915 Manari";284
"260920 Maraial";247
"260930 Mirandiba";256
"261430 Moreilândia";143
"260940 Moreno";788
"260950 Nazaré da Mata";425
"260960 Olinda";5493
"260970 Orobó";293
"260980 Orocó";240
"260990 Ouricuri";1123
"261000 Palmares";1033
"261010 Palmeirina";104
"261020 Panelas";369
"261030 Paranatama";240
"261040 Parnamirim";308
"261050 Passira";394
"261060 Paudalho";862
"261070 Paulista";4139
"261080 Pedra";304
"261090 Pesqueira";939
"261100 Petrolândia";714
"261110 Petrolina";6578
"261120 Poção";158
"261130 Pombos";401
"261140 Primavera";150
"261150 Quipapá";294
"261153 Quixaba";106
"261160 Recife";22212
"261170 Riacho das Almas";374
"261180 Ribeirão";471
"261190 Rio Formoso";373
"261200 Sairé";110
"261210 Salgadinho";64
"261220 Salgueiro";1009
"261230 Saloá";231
"261240 Sanharó";269
"261245 Santa Cruz";228
"261247 Santa Cruz da Baixa Verde";186
"261250 Santa Cruz do Capibaribe";1512
"261255 Santa Filomena";203
"261260 Santa Maria da Boa Vista";723
"261270 Santa Maria do Cambucá";204
"261280 Santa Terezinha";154
"261290 São Benedito do Sul";138
"261300 São Bento do Una";760
"261310 São Caitano";527
"261320 São João";358
"261330 São Joaquim do Monte";350
"261340 São José da Coroa Grande";330
"261350 São José do Belmonte";554
"261360 São José do Egito";454
"261370 São Lourenço da Mata";1563
"261380 São Vicente Ferrer";303
"261390 Serra Talhada";1612
"261400 Serrita";295
"261410 Sertânia";427
"261420 Sirinhaém";587
"261440 Solidão";82
"261450 Surubim";925
"261460 Tabira";468
"261470 Tacaimbó";168
"261480 Tacaratu";368
"261485 Tamandaré";368
"261500 Taquaritinga do Norte";420
"261510 Terezinha";101
"261520 Terra Nova";135
"261530 Timbaúba";698
"261540 Toritama";674
"261550 Tracunhaém";193
"261560 Trindade";562
"261570 Triunfo";179
"261580 Tupanatinga";377
"261590 Tuparetama";102
"261600 Venturosa";285
"261610 Verdejante";143
"261618 Vertente do Lério";112
"261620 Vertentes";361
"261630 Vicência";437
"261640 Vitória de Santo Antão";2059
"261650 Xexéu";232
