"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"513";"55,161";"417";"44,839";"0";"0,000";"930";"7,994"
"ENSINO FUNDAMENTAL COMPLETO";"306";"46,224";"356";"53,776";"0";"0,000";"662";"5,691"
"ENSINO FUNDAMENTAL INCOMPLETO";"1.667";"53,038";"1.476";"46,962";"0";"0,000";"3.143";"27,018"
"ENSINO MÉDIO COMPLETO";"663";"39,677";"1.008";"60,323";"0";"0,000";"1.671";"14,364"
"ENSINO MÉDIO INCOMPLETO";"537";"45,586";"641";"54,414";"0";"0,000";"1.178";"10,126"
"LÊ E ESCREVE";"1.693";"49,517";"1.726";"50,483";"0";"0,000";"3.419";"29,391"
"SUPERIOR COMPLETO";"150";"33,482";"298";"66,518";"0";"0,000";"448";"3,851"
"SUPERIOR INCOMPLETO";"71";"39,011";"111";"60,989";"0";"0,000";"182";"1,565"
"TOTAL(TT)";"5.600";"48,139";"6.033";"51,861";"0";"0,000";"11.633";"100,000"
