"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.212";"45,089";"1.476";"54,911";"0";"0,000";"2.688";"6,320"
"ENSINO FUNDAMENTAL COMPLETO";"1.029";"50,740";"999";"49,260";"0";"0,000";"2.028";"4,768"
"ENSINO FUNDAMENTAL INCOMPLETO";"5.351";"48,430";"5.698";"51,570";"0";"0,000";"11.049";"25,977"
"ENSINO MÉDIO COMPLETO";"4.898";"41,935";"6.782";"58,065";"0";"0,000";"11.680";"27,460"
"ENSINO MÉDIO INCOMPLETO";"2.478";"48,569";"2.624";"51,431";"0";"0,000";"5.102";"11,995"
"LÊ E ESCREVE";"2.201";"48,544";"2.333";"51,456";"0";"0,000";"4.534";"10,660"
"SUPERIOR COMPLETO";"1.101";"33,123";"2.223";"66,877";"0";"0,000";"3.324";"7,815"
"SUPERIOR INCOMPLETO";"966";"45,373";"1.163";"54,627";"0";"0,000";"2.129";"5,005"
"TOTAL(TT)";"19.236";"45,225";"23.298";"54,775";"0";"0,000";"42.534";"100,000"
