"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"977";"50,938";"941";"49,062";"0";"0,000";"1.918";"19,971"
"ENSINO FUNDAMENTAL COMPLETO";"221";"52,745";"198";"47,255";"0";"0,000";"419";"4,363"
"ENSINO FUNDAMENTAL INCOMPLETO";"1.395";"55,248";"1.130";"44,752";"0";"0,000";"2.525";"26,291"
"ENSINO MÉDIO COMPLETO";"610";"43,916";"779";"56,084";"0";"0,000";"1.389";"14,463"
"ENSINO MÉDIO INCOMPLETO";"587";"48,633";"620";"51,367";"0";"0,000";"1.207";"12,568"
"LÊ E ESCREVE";"876";"55,338";"707";"44,662";"0";"0,000";"1.583";"16,483"
"NÃO INFORMADO";"0";"0,000";"1";"100,000";"0";"0,000";"1";"0,010"
"SUPERIOR COMPLETO";"94";"25,405";"276";"74,595";"0";"0,000";"370";"3,853"
"SUPERIOR INCOMPLETO";"94";"48,958";"98";"51,042";"0";"0,000";"192";"1,999"
"TOTAL(TT)";"4.854";"50,541";"4.750";"49,459";"0";"0,000";"9.604";"100,000"
