"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.133";"43,410";"1.477";"56,590";"0";"0,000";"2.610";"10,575"
"ENSINO FUNDAMENTAL COMPLETO";"542";"51,668";"507";"48,332";"0";"0,000";"1.049";"4,250"
"ENSINO FUNDAMENTAL INCOMPLETO";"3.910";"52,099";"3.595";"47,901";"0";"0,000";"7.505";"30,408"
"ENSINO MÉDIO COMPLETO";"1.589";"41,294";"2.259";"58,706";"0";"0,000";"3.848";"15,591"
"ENSINO MÉDIO INCOMPLETO";"2.177";"44,015";"2.769";"55,985";"0";"0,000";"4.946";"20,040"
"LÊ E ESCREVE";"1.781";"52,755";"1.595";"47,245";"0";"0,000";"3.376";"13,679"
"SUPERIOR COMPLETO";"215";"29,533";"513";"70,467";"0";"0,000";"728";"2,950"
"SUPERIOR INCOMPLETO";"245";"39,580";"374";"60,420";"0";"0,000";"619";"2,508"
"TOTAL(TT)";"11.592";"46,967";"13.089";"53,033";"0";"0,000";"24.681";"100,000"
