"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.395";"53,571";"1.208";"46,390";"1";"0,038";"2.604";"8,680"
"ENSINO FUNDAMENTAL COMPLETO";"644";"51,233";"613";"48,767";"0";"0,000";"1.257";"4,190"
"ENSINO FUNDAMENTAL INCOMPLETO";"4.729";"56,716";"3.609";"43,284";"0";"0,000";"8.338";"27,793"
"ENSINO MÉDIO COMPLETO";"2.753";"38,396";"4.416";"61,590";"1";"0,014";"7.170";"23,900"
"ENSINO MÉDIO INCOMPLETO";"1.706";"47,179";"1.910";"52,821";"0";"0,000";"3.616";"12,053"
"LÊ E ESCREVE";"2.697";"56,317";"2.089";"43,621";"3";"0,063";"4.789";"15,963"
"NÃO INFORMADO";"0";"0,000";"0";"0,000";"1";"100,000";"1";"0,003"
"SUPERIOR COMPLETO";"337";"24,332";"1.048";"75,668";"0";"0,000";"1.385";"4,617"
"SUPERIOR INCOMPLETO";"341";"40,595";"499";"59,405";"0";"0,000";"840";"2,800"
"TOTAL(TT)";"14.602";"48,673";"15.392";"51,307";"6";"0,020";"30.000";"100,000"
