"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"851";"54,762";"703";"45,238";"0";"0,000";"1.554";"8,882"
"ENSINO FUNDAMENTAL COMPLETO";"205";"47,235";"229";"52,765";"0";"0,000";"434";"2,481"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.252";"56,783";"1.714";"43,217";"0";"0,000";"3.966";"22,668"
"ENSINO MÉDIO COMPLETO";"741";"33,333";"1.481";"66,622";"1";"0,045";"2.223";"12,706"
"ENSINO MÉDIO INCOMPLETO";"1.599";"47,016";"1.802";"52,984";"0";"0,000";"3.401";"19,439"
"LÊ E ESCREVE";"2.887";"55,264";"2.332";"44,640";"5";"0,096";"5.224";"29,858"
"NÃO INFORMADO";"1";"50,000";"1";"50,000";"0";"0,000";"2";"0,011"
"SUPERIOR COMPLETO";"135";"28,067";"346";"71,933";"0";"0,000";"481";"2,749"
"SUPERIOR INCOMPLETO";"89";"42,180";"122";"57,820";"0";"0,000";"211";"1,206"
"TOTAL(TT)";"8.760";"50,069";"8.730";"49,897";"6";"0,034";"17.496";"100,000"
