"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.216";"45,272";"1.470";"54,728";"0";"0,000";"2.686";"5,710"
"ENSINO FUNDAMENTAL COMPLETO";"1.473";"50,342";"1.453";"49,658";"0";"0,000";"2.926";"6,220"
"ENSINO FUNDAMENTAL INCOMPLETO";"5.252";"48,007";"5.688";"51,993";"0";"0,000";"10.940";"23,257"
"ENSINO MÉDIO COMPLETO";"5.246";"42,039";"7.233";"57,961";"0";"0,000";"12.479";"26,528"
"ENSINO MÉDIO INCOMPLETO";"3.485";"48,322";"3.727";"51,678";"0";"0,000";"7.212";"15,332"
"LÊ E ESCREVE";"1.972";"50,076";"1.966";"49,924";"0";"0,000";"3.938";"8,372"
"SUPERIOR COMPLETO";"1.447";"33,737";"2.842";"66,263";"0";"0,000";"4.289";"9,118"
"SUPERIOR INCOMPLETO";"1.122";"43,658";"1.448";"56,342";"0";"0,000";"2.570";"5,463"
"TOTAL(TT)";"21.213";"45,096";"25.827";"54,904";"0";"0,000";"47.040";"100,000"
