"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.318";"50,614";"1.286";"49,386";"0";"0,000";"2.604";"9,446"
"ENSINO FUNDAMENTAL COMPLETO";"407";"50,496";"399";"49,504";"0";"0,000";"806";"2,924"
"ENSINO FUNDAMENTAL INCOMPLETO";"4.442";"53,855";"3.806";"46,145";"0";"0,000";"8.248";"29,921"
"ENSINO MÉDIO COMPLETO";"2.524";"42,513";"3.413";"57,487";"0";"0,000";"5.937";"21,537"
"ENSINO MÉDIO INCOMPLETO";"2.239";"48,109";"2.415";"51,891";"0";"0,000";"4.654";"16,883"
"LÊ E ESCREVE";"2.161";"53,332";"1.891";"46,668";"0";"0,000";"4.052";"14,699"
"SUPERIOR COMPLETO";"238";"31,481";"518";"68,519";"0";"0,000";"756";"2,743"
"SUPERIOR INCOMPLETO";"194";"38,114";"315";"61,886";"0";"0,000";"509";"1,846"
"TOTAL(TT)";"13.523";"49,057";"14.043";"50,943";"0";"0,000";"27.566";"100,000"
