"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.950";"44,571";"2.425";"55,429";"0";"0,000";"4.375";"5,689"
"ENSINO FUNDAMENTAL COMPLETO";"2.108";"51,857";"1.957";"48,143";"0";"0,000";"4.065";"5,286"
"ENSINO FUNDAMENTAL INCOMPLETO";"11.376";"52,998";"10.089";"47,002";"0";"0,000";"21.465";"27,910"
"ENSINO MÉDIO COMPLETO";"8.727";"43,896";"11.154";"56,104";"0";"0,000";"19.881";"25,850"
"ENSINO MÉDIO INCOMPLETO";"6.336";"48,084";"6.841";"51,916";"0";"0,000";"13.177";"17,133"
"LÊ E ESCREVE";"4.381";"53,052";"3.877";"46,948";"0";"0,000";"8.258";"10,738"
"SUPERIOR COMPLETO";"1.165";"34,325";"2.229";"65,675";"0";"0,000";"3.394";"4,413"
"SUPERIOR INCOMPLETO";"947";"41,300";"1.346";"58,700";"0";"0,000";"2.293";"2,981"
"TOTAL(TT)";"36.990";"48,096";"39.918";"51,904";"0";"0,000";"76.908";"100,000"
