"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"549";"49,593";"558";"50,407";"0";"0,000";"1.107";"11,812"
"ENSINO FUNDAMENTAL COMPLETO";"139";"50,362";"137";"49,638";"0";"0,000";"276";"2,945"
"ENSINO FUNDAMENTAL INCOMPLETO";"1.405";"51,654";"1.315";"48,346";"0";"0,000";"2.720";"29,023"
"ENSINO MÉDIO COMPLETO";"577";"42,117";"793";"57,883";"0";"0,000";"1.370";"14,618"
"ENSINO MÉDIO INCOMPLETO";"575";"45,927";"677";"54,073";"0";"0,000";"1.252";"13,359"
"LÊ E ESCREVE";"1.033";"52,839";"921";"47,110";"1";"0,051";"1.955";"20,860"
"NÃO INFORMADO";"0";"0,000";"1";"100,000";"0";"0,000";"1";"0,011"
"SUPERIOR COMPLETO";"102";"25,123";"304";"74,877";"0";"0,000";"406";"4,332"
"SUPERIOR INCOMPLETO";"98";"34,386";"187";"65,614";"0";"0,000";"285";"3,041"
"TOTAL(TT)";"4.478";"47,781";"4.893";"52,209";"1";"0,011";"9.372";"100,001"
