"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"744";"50,854";"719";"49,146";"0";"0,000";"1.463";"8,567"
"ENSINO FUNDAMENTAL COMPLETO";"291";"50,086";"290";"49,914";"0";"0,000";"581";"3,402"
"ENSINO FUNDAMENTAL INCOMPLETO";"3.124";"52,451";"2.832";"47,549";"0";"0,000";"5.956";"34,875"
"ENSINO MÉDIO COMPLETO";"1.312";"41,890";"1.820";"58,110";"0";"0,000";"3.132";"18,339"
"ENSINO MÉDIO INCOMPLETO";"1.353";"44,346";"1.698";"55,654";"0";"0,000";"3.051";"17,865"
"LÊ E ESCREVE";"1.011";"55,397";"814";"44,603";"0";"0,000";"1.825";"10,686"
"SUPERIOR COMPLETO";"201";"32,524";"417";"67,476";"0";"0,000";"618";"3,619"
"SUPERIOR INCOMPLETO";"193";"42,699";"259";"57,301";"0";"0,000";"452";"2,647"
"TOTAL(TT)";"8.229";"48,185";"8.849";"51,815";"0";"0,000";"17.078";"100,000"
