"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.492";"53,248";"1.308";"46,681";"2";"0,071";"2.802";"12,921"
"ENSINO FUNDAMENTAL COMPLETO";"304";"47,352";"338";"52,648";"0";"0,000";"642";"2,960"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.916";"52,165";"2.673";"47,818";"1";"0,018";"5.590";"25,777"
"ENSINO MÉDIO COMPLETO";"500";"31,506";"1.087";"68,494";"0";"0,000";"1.587";"7,318"
"ENSINO MÉDIO INCOMPLETO";"1.797";"42,644";"2.417";"57,356";"0";"0,000";"4.214";"19,432"
"LÊ E ESCREVE";"3.318";"52,592";"2.983";"47,282";"8";"0,127";"6.309";"29,093"
"NÃO INFORMADO";"4";"30,769";"9";"69,231";"0";"0,000";"13";"0,060"
"SUPERIOR COMPLETO";"84";"25,532";"245";"74,468";"0";"0,000";"329";"1,517"
"SUPERIOR INCOMPLETO";"67";"33,500";"133";"66,500";"0";"0,000";"200";"0,922"
"TOTAL(TT)";"10.482";"48,335";"11.193";"51,614";"11";"0,051";"21.686";"100,000"
