"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"541";"43,629";"699";"56,371";"0";"0,000";"1.240";"6,835"
"ENSINO FUNDAMENTAL COMPLETO";"415";"49,880";"417";"50,120";"0";"0,000";"832";"4,586"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.802";"51,150";"2.676";"48,850";"0";"0,000";"5.478";"30,195"
"ENSINO MÉDIO COMPLETO";"1.567";"40,087";"2.342";"59,913";"0";"0,000";"3.909";"21,547"
"ENSINO MÉDIO INCOMPLETO";"1.654";"47,325";"1.841";"52,675";"0";"0,000";"3.495";"19,265"
"LÊ E ESCREVE";"1.119";"49,535";"1.140";"50,465";"0";"0,000";"2.259";"12,452"
"SUPERIOR COMPLETO";"125";"27,115";"336";"72,885";"0";"0,000";"461";"2,541"
"SUPERIOR INCOMPLETO";"178";"38,034";"290";"61,966";"0";"0,000";"468";"2,580"
"TOTAL(TT)";"8.401";"46,307";"9.741";"53,693";"0";"0,000";"18.142";"100,000"
