"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.623";"46,478";"1.869";"53,522";"0";"0,000";"3.492";"7,889"
"ENSINO FUNDAMENTAL COMPLETO";"1.071";"46,687";"1.223";"53,313";"0";"0,000";"2.294";"5,183"
"ENSINO FUNDAMENTAL INCOMPLETO";"5.668";"51,341";"5.372";"48,659";"0";"0,000";"11.040";"24,941"
"ENSINO MÉDIO COMPLETO";"4.110";"38,825";"6.476";"61,175";"0";"0,000";"10.586";"23,916"
"ENSINO MÉDIO INCOMPLETO";"2.210";"47,732";"2.420";"52,268";"0";"0,000";"4.630";"10,460"
"LÊ E ESCREVE";"3.880";"49,648";"3.935";"50,352";"0";"0,000";"7.815";"17,655"
"SUPERIOR COMPLETO";"843";"31,084";"1.869";"68,916";"0";"0,000";"2.712";"6,127"
"SUPERIOR INCOMPLETO";"740";"43,658";"955";"56,342";"0";"0,000";"1.695";"3,829"
"TOTAL(TT)";"20.145";"45,511";"24.119";"54,489";"0";"0,000";"44.264";"100,000"
