"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.894";"57,814";"1.382";"42,186";"0";"0,000";"3.276";"17,290"
"ENSINO FUNDAMENTAL COMPLETO";"238";"46,943";"269";"53,057";"0";"0,000";"507";"2,676"
"ENSINO FUNDAMENTAL INCOMPLETO";"3.273";"52,460";"2.966";"47,540";"0";"0,000";"6.239";"32,929"
"ENSINO MÉDIO COMPLETO";"1.270";"39,466";"1.948";"60,534";"0";"0,000";"3.218";"16,984"
"ENSINO MÉDIO INCOMPLETO";"1.030";"48,176";"1.108";"51,824";"0";"0,000";"2.138";"11,284"
"LÊ E ESCREVE";"1.268";"55,299";"1.025";"44,701";"0";"0,000";"2.293";"12,102"
"NÃO INFORMADO";"2";"66,667";"1";"33,333";"0";"0,000";"3";"0,016"
"SUPERIOR COMPLETO";"267";"28,990";"654";"71,010";"0";"0,000";"921";"4,861"
"SUPERIOR INCOMPLETO";"146";"41,477";"206";"58,523";"0";"0,000";"352";"1,858"
"TOTAL(TT)";"9.388";"49,549";"9.559";"50,451";"0";"0,000";"18.947";"100,000"
