"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"903";"49,317";"928";"50,683";"0";"0,000";"1.831";"9,886"
"ENSINO FUNDAMENTAL COMPLETO";"269";"45,363";"324";"54,637";"0";"0,000";"593";"3,202"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.539";"52,535";"2.294";"47,465";"0";"0,000";"4.833";"26,095"
"ENSINO MÉDIO COMPLETO";"1.513";"40,154";"2.255";"59,846";"0";"0,000";"3.768";"20,344"
"ENSINO MÉDIO INCOMPLETO";"1.040";"47,904";"1.131";"52,096";"0";"0,000";"2.171";"11,722"
"LÊ E ESCREVE";"2.019";"51,729";"1.884";"48,271";"0";"0,000";"3.903";"21,073"
"NÃO INFORMADO";"1";"50,000";"1";"50,000";"0";"0,000";"2";"0,011"
"SUPERIOR COMPLETO";"234";"27,178";"627";"72,822";"0";"0,000";"861";"4,649"
"SUPERIOR INCOMPLETO";"247";"44,186";"312";"55,814";"0";"0,000";"559";"3,018"
"TOTAL(TT)";"8.765";"47,325";"9.756";"52,675";"0";"0,000";"18.521";"100,000"
