"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.093";"48,002";"1.184";"51,998";"0";"0,000";"2.277";"15,049"
"ENSINO FUNDAMENTAL COMPLETO";"312";"56,624";"239";"43,376";"0";"0,000";"551";"3,642"
"ENSINO FUNDAMENTAL INCOMPLETO";"1.957";"52,466";"1.773";"47,534";"0";"0,000";"3.730";"24,651"
"ENSINO MÉDIO COMPLETO";"1.540";"41,554";"2.166";"58,446";"0";"0,000";"3.706";"24,493"
"ENSINO MÉDIO INCOMPLETO";"948";"48,740";"997";"51,260";"0";"0,000";"1.945";"12,854"
"LÊ E ESCREVE";"955";"55,394";"769";"44,606";"0";"0,000";"1.724";"11,394"
"SUPERIOR COMPLETO";"210";"28,966";"515";"71,034";"0";"0,000";"725";"4,791"
"SUPERIOR INCOMPLETO";"196";"41,438";"277";"58,562";"0";"0,000";"473";"3,126"
"TOTAL(TT)";"7.211";"47,657";"7.920";"52,343";"0";"0,000";"15.131";"100,000"
