"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"4.958";"51,198";"4.714";"48,678";"12";"0,124";"9.684";"25,478"
"ENSINO FUNDAMENTAL COMPLETO";"618";"46,606";"706";"53,243";"2";"0,151";"1.326";"3,489"
"ENSINO FUNDAMENTAL INCOMPLETO";"5.265";"50,703";"5.119";"49,297";"0";"0,000";"10.384";"27,319"
"ENSINO MÉDIO COMPLETO";"999";"33,557";"1.976";"66,376";"2";"0,067";"2.977";"7,832"
"ENSINO MÉDIO INCOMPLETO";"2.368";"42,736";"3.172";"57,246";"1";"0,018";"5.541";"14,578"
"LÊ E ESCREVE";"3.580";"49,271";"3.672";"50,537";"14";"0,193";"7.266";"19,116"
"NÃO INFORMADO";"19";"61,290";"11";"35,484";"1";"3,226";"31";"0,082"
"SUPERIOR COMPLETO";"138";"24,643";"422";"75,357";"0";"0,000";"560";"1,473"
"SUPERIOR INCOMPLETO";"90";"37,344";"151";"62,656";"0";"0,000";"241";"0,634"
"TOTAL(TT)";"18.035";"47,448";"19.943";"52,468";"32";"0,084";"38.010";"100,000"
