"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"824";"44,807";"1.015";"55,193";"0";"0,000";"1.839";"10,893"
"ENSINO FUNDAMENTAL COMPLETO";"303";"47,943";"329";"52,057";"0";"0,000";"632";"3,743"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.443";"50,801";"2.366";"49,199";"0";"0,000";"4.809";"28,484"
"ENSINO MÉDIO COMPLETO";"1.598";"41,734";"2.231";"58,266";"0";"0,000";"3.829";"22,680"
"ENSINO MÉDIO INCOMPLETO";"548";"44,553";"682";"55,447";"0";"0,000";"1.230";"7,285"
"LÊ E ESCREVE";"1.703";"54,392";"1.428";"45,608";"0";"0,000";"3.131";"18,545"
"SUPERIOR COMPLETO";"268";"27,772";"697";"72,228";"0";"0,000";"965";"5,716"
"SUPERIOR INCOMPLETO";"178";"39,732";"270";"60,268";"0";"0,000";"448";"2,654"
"TOTAL(TT)";"7.865";"46,585";"9.018";"53,415";"0";"0,000";"16.883";"100,000"
