"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.705";"58,052";"1.232";"41,948";"0";"0,000";"2.937";"9,452"
"ENSINO FUNDAMENTAL COMPLETO";"770";"47,590";"848";"52,410";"0";"0,000";"1.618";"5,207"
"ENSINO FUNDAMENTAL INCOMPLETO";"6.274";"51,066";"6.011";"48,926";"1";"0,008";"12.286";"39,539"
"ENSINO MÉDIO COMPLETO";"1.316";"39,190";"2.041";"60,780";"1";"0,030";"3.358";"10,807"
"ENSINO MÉDIO INCOMPLETO";"2.045";"44,264";"2.575";"55,736";"0";"0,000";"4.620";"14,868"
"LÊ E ESCREVE";"2.624";"49,905";"2.630";"50,019";"4";"0,076";"5.258";"16,921"
"NÃO INFORMADO";"1";"100,000";"0";"0,000";"0";"0,000";"1";"0,003"
"SUPERIOR COMPLETO";"163";"31,528";"353";"68,279";"1";"0,193";"517";"1,664"
"SUPERIOR INCOMPLETO";"214";"44,770";"264";"55,230";"0";"0,000";"478";"1,538"
"TOTAL(TT)";"15.112";"48,634";"15.954";"51,344";"7";"0,023";"31.073";"100,001"
