"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"2.961";"57,140";"2.211";"42,667";"10";"0,193";"5.182";"15,997"
"ENSINO FUNDAMENTAL COMPLETO";"633";"40,063";"947";"59,937";"0";"0,000";"1.580";"4,878"
"ENSINO FUNDAMENTAL INCOMPLETO";"4.337";"49,022";"4.506";"50,933";"4";"0,045";"8.847";"27,311"
"ENSINO MÉDIO COMPLETO";"758";"33,129";"1.530";"66,871";"0";"0,000";"2.288";"7,063"
"ENSINO MÉDIO INCOMPLETO";"1.753";"39,679";"2.664";"60,299";"1";"0,023";"4.418";"13,639"
"LÊ E ESCREVE";"4.719";"50,906";"4.545";"49,029";"6";"0,065";"9.270";"28,617"
"NÃO INFORMADO";"7";"77,778";"2";"22,222";"0";"0,000";"9";"0,028"
"SUPERIOR COMPLETO";"137";"27,959";"353";"72,041";"0";"0,000";"490";"1,513"
"SUPERIOR INCOMPLETO";"112";"36,246";"197";"63,754";"0";"0,000";"309";"0,954"
"TOTAL(TT)";"15.417";"47,594";"16.955";"52,342";"21";"0,065";"32.393";"100,001"
