"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"357";"51,293";"339";"48,707";"0";"0,000";"696";"8,859"
"ENSINO FUNDAMENTAL COMPLETO";"178";"43,842";"228";"56,158";"0";"0,000";"406";"5,168"
"ENSINO FUNDAMENTAL INCOMPLETO";"1.107";"52,340";"1.008";"47,660";"0";"0,000";"2.115";"26,922"
"ENSINO MÉDIO COMPLETO";"617";"40,699";"899";"59,301";"0";"0,000";"1.516";"19,297"
"ENSINO MÉDIO INCOMPLETO";"503";"50,757";"488";"49,243";"0";"0,000";"991";"12,615"
"LÊ E ESCREVE";"754";"52,654";"678";"47,346";"0";"0,000";"1.432";"18,228"
"SUPERIOR COMPLETO";"172";"33,398";"343";"66,602";"0";"0,000";"515";"6,555"
"SUPERIOR INCOMPLETO";"78";"42,162";"107";"57,838";"0";"0,000";"185";"2,355"
"TOTAL(TT)";"3.766";"47,938";"4.090";"52,062";"0";"0,000";"7.856";"100,000"
