"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"2.904";"48,008";"3.140";"51,909";"5";"0,083";"6.049";"9,739"
"ENSINO FUNDAMENTAL COMPLETO";"1.060";"46,228";"1.233";"53,772";"0";"0,000";"2.293";"3,692"
"ENSINO FUNDAMENTAL INCOMPLETO";"8.873";"50,358";"8.746";"49,637";"1";"0,006";"17.620";"28,369"
"ENSINO MÉDIO COMPLETO";"5.732";"45,155";"6.962";"54,845";"0";"0,000";"12.694";"20,438"
"ENSINO MÉDIO INCOMPLETO";"3.381";"47,741";"3.701";"52,259";"0";"0,000";"7.082";"11,403"
"LÊ E ESCREVE";"4.940";"51,314";"4.680";"48,613";"7";"0,073";"9.627";"15,500"
"NÃO INFORMADO";"3";"60,000";"1";"20,000";"1";"20,000";"5";"0,008"
"SUPERIOR COMPLETO";"1.493";"33,356";"2.983";"66,644";"0";"0,000";"4.476";"7,207"
"SUPERIOR INCOMPLETO";"1.002";"44,278";"1.261";"55,722";"0";"0,000";"2.263";"3,644"
"TOTAL(TT)";"29.388";"47,317";"32.707";"52,661";"14";"0,023";"62.109";"100,001"
