"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"4.386";"52,678";"3.934";"47,250";"6";"0,072";"8.326";"16,808"
"ENSINO FUNDAMENTAL COMPLETO";"1.014";"53,453";"883";"46,547";"0";"0,000";"1.897";"3,830"
"ENSINO FUNDAMENTAL INCOMPLETO";"6.330";"53,220";"5.563";"46,771";"1";"0,008";"11.894";"24,011"
"ENSINO MÉDIO COMPLETO";"4.036";"39,120";"6.281";"60,880";"0";"0,000";"10.317";"20,828"
"ENSINO MÉDIO INCOMPLETO";"2.673";"48,786";"2.806";"51,214";"0";"0,000";"5.479";"11,061"
"LÊ E ESCREVE";"4.254";"53,168";"3.743";"46,782";"4";"0,050";"8.001";"16,152"
"NÃO INFORMADO";"5";"35,714";"9";"64,286";"0";"0,000";"14";"0,028"
"SUPERIOR COMPLETO";"773";"30,290";"1.779";"69,710";"0";"0,000";"2.552";"5,152"
"SUPERIOR INCOMPLETO";"454";"43,033";"601";"56,967";"0";"0,000";"1.055";"2,130"
"TOTAL(TT)";"23.925";"48,299";"25.599";"51,679";"11";"0,022";"49.535";"100,000"
