"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.019";"51,937";"943";"48,063";"0";"0,000";"1.962";"22,207"
"ENSINO FUNDAMENTAL COMPLETO";"90";"47,368";"100";"52,632";"0";"0,000";"190";"2,151"
"ENSINO FUNDAMENTAL INCOMPLETO";"1.212";"55,242";"982";"44,758";"0";"0,000";"2.194";"24,833"
"ENSINO MÉDIO COMPLETO";"639";"40,063";"956";"59,937";"0";"0,000";"1.595";"18,053"
"ENSINO MÉDIO INCOMPLETO";"422";"48,009";"457";"51,991";"0";"0,000";"879";"9,949"
"LÊ E ESCREVE";"801";"56,369";"620";"43,631";"0";"0,000";"1.421";"16,084"
"SUPERIOR COMPLETO";"119";"29,529";"284";"70,471";"0";"0,000";"403";"4,561"
"SUPERIOR INCOMPLETO";"101";"52,880";"90";"47,120";"0";"0,000";"191";"2,162"
"TOTAL(TT)";"4.403";"49,836";"4.432";"50,164";"0";"0,000";"8.835";"100,000"
