"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.597";"42,953";"2.121";"57,047";"0";"0,000";"3.718";"9,377"
"ENSINO FUNDAMENTAL COMPLETO";"1.097";"51,527";"1.032";"48,473";"0";"0,000";"2.129";"5,369"
"ENSINO FUNDAMENTAL INCOMPLETO";"5.783";"48,798";"6.068";"51,202";"0";"0,000";"11.851";"29,889"
"ENSINO MÉDIO COMPLETO";"4.061";"42,118";"5.581";"57,882";"0";"0,000";"9.642";"24,318"
"ENSINO MÉDIO INCOMPLETO";"3.233";"47,889";"3.518";"52,111";"0";"0,000";"6.751";"17,026"
"LÊ E ESCREVE";"485";"54,864";"399";"45,136";"0";"0,000";"884";"2,230"
"SUPERIOR COMPLETO";"928";"36,884";"1.588";"63,116";"0";"0,000";"2.516";"6,346"
"SUPERIOR INCOMPLETO";"950";"44,002";"1.209";"55,998";"0";"0,000";"2.159";"5,445"
"TOTAL(TT)";"18.134";"45,735";"21.516";"54,265";"0";"0,000";"39.650";"100,000"
