"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"849";"55,672";"676";"44,328";"0";"0,000";"1.525";"20,959"
"ENSINO FUNDAMENTAL COMPLETO";"123";"50,204";"122";"49,796";"0";"0,000";"245";"3,367"
"ENSINO FUNDAMENTAL INCOMPLETO";"976";"51,099";"934";"48,901";"0";"0,000";"1.910";"26,251"
"ENSINO MÉDIO COMPLETO";"548";"38,920";"860";"61,080";"0";"0,000";"1.408";"19,351"
"ENSINO MÉDIO INCOMPLETO";"311";"45,468";"373";"54,532";"0";"0,000";"684";"9,401"
"LÊ E ESCREVE";"553";"51,346";"524";"48,654";"0";"0,000";"1.077";"14,802"
"SUPERIOR COMPLETO";"71";"25,632";"206";"74,368";"0";"0,000";"277";"3,807"
"SUPERIOR INCOMPLETO";"67";"44,667";"83";"55,333";"0";"0,000";"150";"2,062"
"TOTAL(TT)";"3.498";"48,076";"3.778";"51,924";"0";"0,000";"7.276";"100,000"
