"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.653";"54,268";"1.383";"45,404";"10";"0,328";"3.046";"11,805"
"ENSINO FUNDAMENTAL COMPLETO";"856";"51,660";"799";"48,220";"2";"0,121";"1.657";"6,422"
"ENSINO FUNDAMENTAL INCOMPLETO";"3.786";"51,524";"3.558";"48,421";"4";"0,054";"7.348";"28,477"
"ENSINO MÉDIO COMPLETO";"1.047";"34,646";"1.969";"65,156";"6";"0,199";"3.022";"11,712"
"ENSINO MÉDIO INCOMPLETO";"2.235";"45,280";"2.700";"54,700";"1";"0,020";"4.936";"19,130"
"LÊ E ESCREVE";"2.366";"51,190";"2.248";"48,637";"8";"0,173";"4.622";"17,913"
"NÃO INFORMADO";"23";"67,647";"9";"26,471";"2";"5,882";"34";"0,132"
"SUPERIOR COMPLETO";"253";"33,377";"505";"66,623";"0";"0,000";"758";"2,938"
"SUPERIOR INCOMPLETO";"155";"40,789";"224";"58,947";"1";"0,263";"380";"1,473"
"TOTAL(TT)";"12.374";"47,956";"13.395";"51,913";"34";"0,132";"25.803";"100,001"
