"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"970";"46,257";"1.124";"53,600";"3";"0,143";"2.097";"11,540"
"ENSINO FUNDAMENTAL COMPLETO";"232";"47,154";"260";"52,846";"0";"0,000";"492";"2,708"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.713";"52,506";"2.454";"47,494";"0";"0,000";"5.167";"28,435"
"ENSINO MÉDIO COMPLETO";"1.357";"37,969";"2.217";"62,031";"0";"0,000";"3.574";"19,669"
"ENSINO MÉDIO INCOMPLETO";"964";"48,491";"1.024";"51,509";"0";"0,000";"1.988";"10,941"
"LÊ E ESCREVE";"1.579";"49,953";"1.581";"50,016";"1";"0,032";"3.161";"17,396"
"NÃO INFORMADO";"1";"100,000";"0";"0,000";"0";"0,000";"1";"0,006"
"SUPERIOR COMPLETO";"325";"31,130";"719";"68,870";"0";"0,000";"1.044";"5,745"
"SUPERIOR INCOMPLETO";"269";"41,577";"378";"58,423";"0";"0,000";"647";"3,561"
"TOTAL(TT)";"8.410";"46,283";"9.757";"53,695";"4";"0,022";"18.171";"100,000"
