"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.404";"52,019";"1.295";"47,981";"0";"0,000";"2.699";"9,950"
"ENSINO FUNDAMENTAL COMPLETO";"583";"47,553";"643";"52,447";"0";"0,000";"1.226";"4,520"
"ENSINO FUNDAMENTAL INCOMPLETO";"3.994";"52,477";"3.617";"47,523";"0";"0,000";"7.611";"28,058"
"ENSINO MÉDIO COMPLETO";"1.644";"37,750";"2.711";"62,250";"0";"0,000";"4.355";"16,055"
"ENSINO MÉDIO INCOMPLETO";"1.754";"45,976";"2.061";"54,024";"0";"0,000";"3.815";"14,064"
"LÊ E ESCREVE";"2.846";"54,127";"2.412";"45,873";"0";"0,000";"5.258";"19,384"
"SUPERIOR COMPLETO";"348";"25,607";"1.011";"74,393";"0";"0,000";"1.359";"5,010"
"SUPERIOR INCOMPLETO";"278";"34,620";"525";"65,380";"0";"0,000";"803";"2,960"
"TOTAL(TT)";"12.851";"47,375";"14.275";"52,625";"0";"0,000";"27.126";"100,000"
