"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"2.290";"37,097";"3.883";"62,903";"0";"0,000";"6.173";"4,044"
"ENSINO FUNDAMENTAL COMPLETO";"4.171";"50,798";"4.040";"49,202";"0";"0,000";"8.211";"5,380"
"ENSINO FUNDAMENTAL INCOMPLETO";"17.159";"47,606";"18.885";"52,394";"0";"0,000";"36.044";"23,615"
"ENSINO MÉDIO COMPLETO";"27.112";"46,996";"30.578";"53,004";"0";"0,000";"57.690";"37,797"
"ENSINO MÉDIO INCOMPLETO";"9.665";"50,360";"9.527";"49,640";"0";"0,000";"19.192";"12,574"
"LÊ E ESCREVE";"5.176";"48,478";"5.501";"51,522";"0";"0,000";"10.677";"6,995"
"SUPERIOR COMPLETO";"3.171";"36,248";"5.577";"63,752";"0";"0,000";"8.748";"5,731"
"SUPERIOR INCOMPLETO";"2.673";"45,328";"3.224";"54,672";"0";"0,000";"5.897";"3,864"
"TOTAL(TT)";"71.417";"46,790";"81.215";"53,210";"0";"0,000";"152.632";"100,000"
