"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"670";"51,223";"638";"48,777";"0";"0,000";"1.308";"10,976"
"ENSINO FUNDAMENTAL COMPLETO";"270";"53,254";"237";"46,746";"0";"0,000";"507";"4,254"
"ENSINO FUNDAMENTAL INCOMPLETO";"1.624";"57,183";"1.216";"42,817";"0";"0,000";"2.840";"23,832"
"ENSINO MÉDIO COMPLETO";"1.063";"42,401";"1.444";"57,599";"0";"0,000";"2.507";"21,037"
"ENSINO MÉDIO INCOMPLETO";"540";"48,693";"569";"51,307";"0";"0,000";"1.109";"9,306"
"LÊ E ESCREVE";"1.695";"55,302";"1.370";"44,698";"0";"0,000";"3.065";"25,720"
"NÃO INFORMADO";"0";"0,000";"2";"100,000";"0";"0,000";"2";"0,017"
"SUPERIOR COMPLETO";"122";"28,306";"308";"71,462";"1";"0,232";"431";"3,617"
"SUPERIOR INCOMPLETO";"47";"31,757";"101";"68,243";"0";"0,000";"148";"1,242"
"TOTAL(TT)";"6.031";"50,608";"5.885";"49,383";"1";"0,008";"11.917";"99,999"
