"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"804";"56,941";"608";"43,059";"0";"0,000";"1.412";"7,151"
"ENSINO FUNDAMENTAL COMPLETO";"506";"46,895";"573";"53,105";"0";"0,000";"1.079";"5,464"
"ENSINO FUNDAMENTAL INCOMPLETO";"3.023";"52,859";"2.696";"47,141";"0";"0,000";"5.719";"28,963"
"ENSINO MÉDIO COMPLETO";"1.468";"36,884";"2.512";"63,116";"0";"0,000";"3.980";"20,156"
"ENSINO MÉDIO INCOMPLETO";"1.430";"46,993";"1.613";"53,007";"0";"0,000";"3.043";"15,411"
"LÊ E ESCREVE";"1.695";"53,302";"1.485";"46,698";"0";"0,000";"3.180";"16,105"
"SUPERIOR COMPLETO";"211";"25,545";"615";"74,455";"0";"0,000";"826";"4,183"
"SUPERIOR INCOMPLETO";"212";"41,815";"295";"58,185";"0";"0,000";"507";"2,568"
"TOTAL(TT)";"9.349";"47,346";"10.397";"52,654";"0";"0,000";"19.746";"100,000"
