"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.420";"56,060";"1.111";"43,861";"2";"0,079";"2.533";"16,040"
"ENSINO FUNDAMENTAL COMPLETO";"362";"46,115";"423";"53,885";"0";"0,000";"785";"4,971"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.269";"51,946";"2.098";"48,031";"1";"0,023";"4.368";"27,660"
"ENSINO MÉDIO COMPLETO";"355";"30,709";"801";"69,291";"0";"0,000";"1.156";"7,320"
"ENSINO MÉDIO INCOMPLETO";"1.008";"41,826";"1.402";"58,174";"0";"0,000";"2.410";"15,261"
"LÊ E ESCREVE";"2.200";"51,510";"2.068";"48,420";"3";"0,070";"4.271";"27,045"
"NÃO INFORMADO";"6";"75,000";"2";"25,000";"0";"0,000";"8";"0,051"
"SUPERIOR COMPLETO";"43";"28,289";"109";"71,711";"0";"0,000";"152";"0,963"
"SUPERIOR INCOMPLETO";"37";"33,945";"72";"66,055";"0";"0,000";"109";"0,690"
"TOTAL(TT)";"7.700";"48,759";"8.086";"51,203";"6";"0,038";"15.792";"100,000"
