"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"913";"56,289";"709";"43,711";"0";"0,000";"1.622";"8,121"
"ENSINO FUNDAMENTAL COMPLETO";"364";"45,729";"432";"54,271";"0";"0,000";"796";"3,986"
"ENSINO FUNDAMENTAL INCOMPLETO";"3.509";"48,682";"3.695";"51,262";"4";"0,055";"7.208";"36,091"
"ENSINO MÉDIO COMPLETO";"745";"36,555";"1.293";"63,445";"0";"0,000";"2.038";"10,204"
"ENSINO MÉDIO INCOMPLETO";"1.530";"43,257";"2.007";"56,743";"0";"0,000";"3.537";"17,710"
"LÊ E ESCREVE";"2.194";"52,551";"1.979";"47,401";"2";"0,048";"4.175";"20,904"
"NÃO INFORMADO";"2";"100,000";"0";"0,000";"0";"0,000";"2";"0,010"
"SUPERIOR COMPLETO";"113";"31,653";"244";"68,347";"0";"0,000";"357";"1,788"
"SUPERIOR INCOMPLETO";"92";"38,819";"145";"61,181";"0";"0,000";"237";"1,187"
"TOTAL(TT)";"9.462";"47,376";"10.504";"52,594";"6";"0,030";"19.972";"100,000"
