"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.138";"50,826";"1.100";"49,129";"1";"0,045";"2.239";"10,636"
"ENSINO FUNDAMENTAL COMPLETO";"409";"51,253";"389";"48,747";"0";"0,000";"798";"3,791"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.670";"55,463";"2.144";"44,537";"0";"0,000";"4.814";"22,867"
"ENSINO MÉDIO COMPLETO";"1.997";"42,891";"2.659";"57,109";"0";"0,000";"4.656";"22,117"
"ENSINO MÉDIO INCOMPLETO";"1.352";"50,410";"1.330";"49,590";"0";"0,000";"2.682";"12,740"
"LÊ E ESCREVE";"2.525";"56,186";"1.968";"43,792";"1";"0,022";"4.494";"21,347"
"NÃO INFORMADO";"2";"100,000";"0";"0,000";"0";"0,000";"2";"0,010"
"SUPERIOR COMPLETO";"210";"23,569";"681";"76,431";"0";"0,000";"891";"4,232"
"SUPERIOR INCOMPLETO";"193";"40,546";"283";"59,454";"0";"0,000";"476";"2,261"
"TOTAL(TT)";"10.496";"49,857";"10.554";"50,133";"2";"0,010";"21.052";"100,000"
