"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.034";"50,316";"1.021";"49,684";"0";"0,000";"2.055";"7,489"
"ENSINO FUNDAMENTAL COMPLETO";"692";"47,593";"762";"52,407";"0";"0,000";"1.454";"5,299"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.502";"50,556";"2.447";"49,444";"0";"0,000";"4.949";"18,035"
"ENSINO MÉDIO COMPLETO";"2.637";"41,287";"3.750";"58,713";"0";"0,000";"6.387";"23,275"
"ENSINO MÉDIO INCOMPLETO";"1.858";"49,746";"1.877";"50,254";"0";"0,000";"3.735";"13,611"
"LÊ E ESCREVE";"3.118";"50,161";"3.098";"49,839";"0";"0,000";"6.216";"22,652"
"SUPERIOR COMPLETO";"528";"30,859";"1.183";"69,141";"0";"0,000";"1.711";"6,235"
"SUPERIOR INCOMPLETO";"403";"43,148";"531";"56,852";"0";"0,000";"934";"3,404"
"TOTAL(TT)";"12.772";"46,543";"14.669";"53,457";"0";"0,000";"27.441";"100,000"
