"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"567";"51,971";"523";"47,938";"1";"0,092";"1.091";"16,629"
"ENSINO FUNDAMENTAL COMPLETO";"117";"45,349";"140";"54,264";"1";"0,388";"258";"3,932"
"ENSINO FUNDAMENTAL INCOMPLETO";"1.200";"49,383";"1.229";"50,576";"1";"0,041";"2.430";"37,037"
"ENSINO MÉDIO COMPLETO";"154";"37,745";"253";"62,010";"1";"0,245";"408";"6,219"
"ENSINO MÉDIO INCOMPLETO";"487";"41,874";"676";"58,126";"0";"0,000";"1.163";"17,726"
"LÊ E ESCREVE";"571";"53,464";"495";"46,348";"2";"0,187";"1.068";"16,278"
"NÃO INFORMADO";"3";"75,000";"1";"25,000";"0";"0,000";"4";"0,061"
"SUPERIOR COMPLETO";"29";"34,118";"56";"65,882";"0";"0,000";"85";"1,296"
"SUPERIOR INCOMPLETO";"22";"40,741";"32";"59,259";"0";"0,000";"54";"0,823"
"TOTAL(TT)";"3.150";"48,011";"3.405";"51,898";"6";"0,091";"6.561";"100,000"
