"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"935";"51,345";"881";"48,380";"5";"0,275";"1.821";"11,917"
"ENSINO FUNDAMENTAL COMPLETO";"253";"46,507";"291";"53,493";"0";"0,000";"544";"3,560"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.304";"54,046";"1.959";"45,954";"0";"0,000";"4.263";"27,897"
"ENSINO MÉDIO COMPLETO";"1.014";"39,625";"1.545";"60,375";"0";"0,000";"2.559";"16,746"
"ENSINO MÉDIO INCOMPLETO";"662";"47,151";"742";"52,849";"0";"0,000";"1.404";"9,188"
"LÊ E ESCREVE";"1.939";"52,891";"1.718";"46,863";"9";"0,245";"3.666";"23,991"
"NÃO INFORMADO";"2";"25,000";"6";"75,000";"0";"0,000";"8";"0,052"
"SUPERIOR COMPLETO";"200";"29,070";"488";"70,930";"0";"0,000";"688";"4,502"
"SUPERIOR INCOMPLETO";"137";"41,768";"191";"58,232";"0";"0,000";"328";"2,146"
"TOTAL(TT)";"7.446";"48,727";"7.821";"51,181";"14";"0,092";"15.281";"100,000"
