"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"1.759";"50,604";"1.714";"49,310";"3";"0,086";"3.476";"17,646"
"ENSINO FUNDAMENTAL COMPLETO";"368";"41,582";"516";"58,305";"1";"0,113";"885";"4,493"
"ENSINO FUNDAMENTAL INCOMPLETO";"2.961";"51,113";"2.832";"48,887";"0";"0,000";"5.793";"29,408"
"ENSINO MÉDIO COMPLETO";"424";"33,099";"857";"66,901";"0";"0,000";"1.281";"6,503"
"ENSINO MÉDIO INCOMPLETO";"1.080";"37,331";"1.813";"62,669";"0";"0,000";"2.893";"14,686"
"LÊ E ESCREVE";"2.618";"50,825";"2.532";"49,156";"1";"0,019";"5.151";"26,149"
"NÃO INFORMADO";"1";"50,000";"1";"50,000";"0";"0,000";"2";"0,010"
"SUPERIOR COMPLETO";"32";"22,857";"108";"77,143";"0";"0,000";"140";"0,711"
"SUPERIOR INCOMPLETO";"28";"35,897";"50";"64,103";"0";"0,000";"78";"0,396"
"TOTAL(TT)";"9.271";"47,063";"10.423";"52,911";"5";"0,025";"19.699";"99,999"
